Channel Code,Display Name,Country,Currency,Min Amount,Max Amount,Settlement Time,Refund,Save,Reusable Payment Code,Merchant Initiated Transaction,Type
CARDS,Cards,SG,SGD,0.01,"1,000.00",T+3 BUSINESS DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,SG,USD,0.01,"1,000.00",T+3 BUSINESS DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,VN,VND,"1,000.00","100,000.00",T+5 CALENDAR DAYS,✓,✓,-,✓,CARDS
CARDS,Cards,MX,MXN,0.01,"180,000.00",T+2 BUSINESS DAYS,✓,✓,-,✓,CARDS
CEBUANA,Cebuana Lhuillier,PH,PHP,50,"30,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
CIMB_FPX,CIMB FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
CIMB_FPX_BUSINESS,CIMB FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
CIMB,CIMB Virtual Account,ID,IDR,"1,000.00","50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
CITIBANK_FPX_BUSINESS,Citibank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
DANA,DANA,ID,IDR,100,"20,000,000.00",T+2 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
DEUTSCHE_FPX_BUSINESS,Deutsche Bank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
ECPAY,ECPay,PH,PHP,1,"50,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
ECPAY_DRAGONLOAN,ECPay DragonLoan,PH,PHP,50,"50,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
ECPAY_SCHOOL,ECPay School,PH,PHP,50,"50,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
GCASH,GCash,PH,PHP,1,"100,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
GRABPAY,GrabPay,MY,MYR,1,"1,500.00",T+2 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
GRABPAY,GrabPay,PH,PHP,1,"100,000.00",T+2 CALENDAR DAYS*,✓,✓,-,✓,EWALLET
HLB_FPX,Hong Leong Bank FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
HLB_FPX_BUSINESS,Hong Leong Bank FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
HSBC_FPX,HSBC FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
HSBC_FPX_BUSINESS,HSBC FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
INDODANA,Indodana,ID,IDR,"10,000.00","25,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,PAYLATER
INDOMARET,Indomaret,ID,IDR,"10,000.00","5,000,000.00",T+5 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
ISLAM_FPX,Bank Islam FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
ISLAM_FPX_BUSINESS,Bank Islam FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
JENIUSPAY,Jenius Pay,ID,IDR,"1,000.00","10,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
KBANK_MOBILE_BANKING,Kasikornbank Mobile Banking,TH,THB,20,"700,000.00",INSTANT,-,-,-,-,ONLINE BANKING
KFH_FPX,Kuwait Finance House FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
KFH_FPX_BUSINESS,Kuwait Finance House FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
KREDIVO,Kredivo,ID,IDR,"1,000.00","30,000,000.00",T+4 CALENDAR DAYS*,✓,-,-,-,PAYLATER
KRUNGSRI_DIRECT_DEBIT,Krungsri Direct Debit,TH,THB,20,"700,000.00",INSTANT,-,✓,-,✓,ONLINE BANKING
KRUNGSRI_MOBILE_BANKING,Krungsri Mobile Banking,TH,THB,20,"700,000.00",INSTANT,-,-,-,-,ONLINE BANKING
KTB_DIRECT_DEBIT,Krungthai Bank Direct Debit,TH,THB,20,"700,000.00",INSTANT,-,✓,-,✓,ONLINE BANKING
KTB_MOBILE_BANKING,Krungthai Bank Mobile Banking,TH,THB,20,"700,000.00",INSTANT,-,-,-,-,ONLINE BANKING
LBC,LBC,PH,PHP,50,"200,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
LINEPAY,LINE Pay,TH,THB,1,"50,000.00",T+1 CALENDAR DAYS*,Coming soon,-,-,-,EWALLET
LINKAJA,LinkAja,ID,IDR,100,"10,000,000.00",T+2 CALENDAR DAYS*,✓,-,-,-,EWALLET
MANDIRI,Mandiri Virtual Account,ID,IDR,1,"50,000,000,000.00",INSTANT,-,-,✓,-,BANK TRANSFER
MAYB2E_FPX,Maybank2E FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
MAYB2E_FPX_BUSINESS,Maybank2E FPX (Business),MY,MYR,1,"1,000,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
MAYB2U_FPX,Maybank2U FPX,MY,MYR,1,"30,000.00",T+2 CALENDAR DAYS*,-,-,-,-,ONLINE BANKING
MLHUILLIER,M Lhuillier,PH,PHP,50,"150,000.00",T+2 BUSINESS DAYS,-,-,✓,-,OVER THE COUNTER
MSB,MSB Virtual Account,VN,VND,"10,000.00","499,999,999.00",T+1 BUSINESS DAYS,-,-,✓,-,BANK TRANSFER
